dataset,condition,classifier,GM,Kappa,MCC,F1,Precision,Recall
lymphography,RN-SMOTE,SGD-LR,0.3178174466995659,0.4612369337979094,0.29802596577501195,0.3,0.29,0.32
lymphography,RN-SMOTE,SVM,0.3992724822331886,0.609102787456446,0.3907705600202421,0.39333333333333337,0.39,0.4
lymphography,RN-SMOTE,XGBoost,0.4,0.6619047619047619,0.39714285714285713,0.4,0.4,0.4
lymphography,SMOTE,AdaBoost,0.42,0.65625,0.42,0.42,0.42,0.42
lymphography,SMOTE,CART,0.37781744669956585,0.46923711718320193,0.3594545372035834,0.36,0.35,0.38
lymphography,SMOTE,GB,0.3570613664618283,0.5570912375790424,0.3379458554312669,0.33666666666666667,0.32666666666666666,0.36
lymphography,SMOTE,KNN,0.49490737563232046,0.5472932778108268,0.45539392014169455,0.45333333333333337,0.43,0.5
lymphography,SMOTE,NB,0.3926962598609601,0.4406305259963796,0.33542635840986224,0.33666666666666667,0.3066666666666667,0.4
lymphography,SMOTE,RF,0.3,0.5,0.3,0.3,0.3,0.3
lymphography,SMOTE,SGD-LR,0.3192724822331886,0.48410278745644597,0.31077056002024206,0.3133333333333333,0.31,0.32
lymphography,SMOTE,SVM,0.3992724822331886,0.609102787456446,0.3907705600202421,0.39333333333333337,0.39,0.4
lymphography,SMOTE,XGBoost,0.3,0.49523809523809526,0.29714285714285715,0.3,0.3,0.3
qsar,Original,AdaBoost,0.8081868725019862,0.6246698171513144,0.6268215980194589,0.7505418634398812,0.7575103198388204,0.7482380952380953
qsar,Original,CART,0.78096531680976,0.5700796755367697,0.5720005092505799,0.7144414626459995,0.7163714867612887,0.7166666666666667
qsar,Original,GB,0.8332595921309565,0.6929882599194592,0.6971206594612596,0.7907531276231603,0.8364903226442132,0.7542539682539683
qsar,Original,KNN,0.8011542092316551,0.5986412398555547,0.6011478172576172,0.7374851561684378,0.7208349437126305,0.7592539682539683
qsar,Original,NB,0.749096955998075,0.4579236472965683,0.5171235384791568,0.6898443262828884,0.5460809082253807,0.9391904761904761
qsar,Original,RF,0.8373784983550489,0.7027321243194136,0.7068342987660824,0.7972417111651683,0.8464512431681872,0.7570952380952382
qsar,Original,SGD-LR,0.7657337211636956,0.5727031605681087,0.6021773549170095,0.7069409356266734,0.7592328794964576,0.7374603174603175
qsar,Original,SVM,0.7592590055292842,0.5752613742874225,0.5860663357665884,0.7019985681372763,0.7972987168319489,0.634063492063492
qsar,Original,XGBoost,0.8400447097243052,0.7006427262234521,0.7037709329379706,0.7974238076585416,0.8316440761434408,0.7700476190476191
qsar,RN-SMOTE,AdaBoost,0.8206797651532699,0.6149149525136285,0.6221298543654821,0.7561547443415148,0.6987576485564025,0.8274444444444444
qsar,RN-SMOTE,CART,0.8046932626383538,0.617311580475415,0.6191749436520033,0.7452955139107309,0.7503006770942457,0.7443809523809525
qsar,RN-SMOTE,GB,0.8583817525187909,0.7128190745118144,0.7148385511863908,0.8113994936420461,0.7993352894250192,0.8273809523809524
qsar,RN-SMOTE,KNN,0.7934177001529591,0.553917328929158,0.5648275435966044,0.7218535154484204,0.6490211891984096,0.8161428571428572
qsar,RN-SMOTE,NB,0.765319206941422,0.48562646617072014,0.5378736745174421,0.7027866695522661,0.5646087359394679,0.9341587301587302
qsar,RN-SMOTE,RF,0.8507041368697397,0.7147803016067925,0.7167338440045069,0.8085277340152344,0.8291886665112016,0.791968253968254
qsar,RN-SMOTE,SGD-LR,0.7667994091417945,0.566780843250537,0.5990562786281631,0.7124599245543157,0.7425466549544218,0.7616507936507937
qsar,RN-SMOTE,SVM,0.8196106865752977,0.602343522775624,0.6157398456396741,0.7530479890028423,0.6739834058489845,0.8571904761904762
qsar,RN-SMOTE,XGBoost,0.8461376585100315,0.7028387441971438,0.7049442233327657,0.8014105501625859,0.8164658171260325,0.7908253968253969
qsar,SMOTE,AdaBoost,0.8140940888640104,0.6089171201758075,0.6139344942621213,0.7496672627660036,0.7052688401936911,0.8038095238095238
qsar,SMOTE,CART,0.8023081809840087,0.6010334952793268,0.6035791784316021,0.7389749108260801,0.7224728960492754,0.7605873015873016
qsar,SMOTE,GB,0.8488241881477928,0.7029576189598872,0.7046959109238806,0.802527987571642,0.8072655606108674,0.8013650793650794
qsar,SMOTE,KNN,0.7959440476427853,0.5545677301918505,0.5686868489068919,0.7246170407793585,0.642468349501955,0.8340793650793651
